SITE_ID,SAMPLE_NUMBER,SampleID,Sand (A),Very Fine Gravel (B),Very Fine Gravel (C),Fine Gravel (D),Fine Gravel (E),Medium Gravel (F),Medium Gravel (G),Course Gravel (H),Course Gravel (I),Very Course Gravel (J),Very Course Gravel (K),Small Cobble (L),Medium Cobble (M),Large Cobble (N),Very Large Cobble (O),Small Boulder (P),Medium Boulder (Q),Large Boulder (R)
08EVA3642,08EVA3642_15_R,2117,10,0,0,4,3,1,5,9,9,25,12,17,5,3,1,0,0,0
07CHR013259,07CHR013259_15,2122,0,0,0,0,1,3,6,18,17,29,24,10,1,0,0,0,0,0
07RAG065475,07RAG065475_15,2123,4,0,0,2,4,6,7,11,12,9,17,13,6,10,12,4,0,0
07CHR070059,07CHR070059_15,2126,1,0,0,1,1,1,2,3,7,16,25,18,12,14,7,6,0,0
07CHR045515,07CHR045515_15,2128,0,0,0,0,3,8,6,6,4,10,16,12,12,20,7,0,0,0
07HAR070087,07HAR070087_15,2129,4,0,1,1,7,7,17,23,17,16,12,4,1,0,0,0,0,0
09COV1418,09COV1418_15,2130,2,0,0,2,2,10,7,25,32,18,5,5,0,2,0,0,0,0
08WES0905,08WES0905_15,2133,11,4,1,0,1,2,8,10,17,18,24,4,4,0,0,1,1,0
07HAR025863,07HAR025863_15,2132,4,0,1,2,5,4,8,14,18,11,6,9,7,4,1,1,0,0
09COV1418,09COV1418_15_R,2135,9,0,0,0,2,5,6,15,29,24,9,3,0,3,0,1,0,0
08WES0905,08WES0905_15_R,2134,4,0,2,2,3,7,7,17,15,23,25,11,3,1,1,0,1,0
07LMS093027,07LMS093027_15,2136,0,3,0,2,0,0,0,0,0,0,0,0,15,0,40,20,20,0
08EAS2546,08EAS2546_15,2138,1,0,0,4,3,5,3,14,18,16,21,11,9,1,3,0,0,0
09MID1744,09MID1744_15,2137,5,1,1,1,2,4,10,12,9,8,6,11,20,9,8,2,0,0
08EAS2546,08EAS2546_15_R,2140,0,0,0,2,5,10,10,29,20,17,8,6,8,0,0,0,0,0
09MID1744,09MID1744_15_R,2141,0,0,0,0,0,0,6,16,16,28,20,18,15,9,12,2,0,0
07LMS029443,07LMS029443_15,2139,0,0,0,0,0,0,0,5,10,10,10,0,15,0,25,25,0,0
08LIT2585,08LIT2585_15,2143,3,1,0,2,3,11,23,35,18,2,3,0,0,0,0,0,0,0
07LMS055075,07LMS055075_15,2142,0,0,0,0,0,1,12,23,22,26,32,16,9,0,0,1,0,0
08LIT2585,08LIT2585_15_R,2145,14,0,1,2,8,20,27,18,18,5,2,0,0,0,0,0,0,0
08LAK3627,08LAK3627_15,2144,4,1,1,4,3,6,11,27,34,21,3,1,0,0,0,0,0,0
07LMS033235,07LMS033235_15,2146,3,0,2,4,2,3,8,17,13,19,17,9,7,5,1,0,0,0
08LAK3627,08LAK3627_15_R,2147,9,0,1,0,8,14,15,14,22,16,3,2,1,0,0,0,0,0
09SOO1283,09SOO1283_15,2148,13,8,4,5,13,5,7,14,6,4,3,1,8,7,3,2,0,0
09SOO1283,09SOO1283_15_R,2149,13,7,4,3,4,11,2,12,8,5,2,1,16,7,3,3,0,0
08NOR1756,08NOR1756_15,2150,5,1,1,1,4,12,17,27,18,30,9,0,1,0,0,0,0,0
08NOR1756,08NOR1756_15_R,2151,0,0,0,0,3,8,17,21,30,26,4,1,1,0,0,0,0,0
08SAM1914,08SAM1914_15,2152,0,0,0,1,3,8,19,7,19,19,16,14,5,0,1,0,0,0
08SAM1914,08SAM1914_15_R,2153,10,0,1,2,2,7,10,20,21,12,14,6,8,1,1,0,0,0
08BEA3650,08BEA3650_15,2154,35,0,0,0,1,2,5,6,6,12,15,14,3,3,1,0,0,0
08BEA3650,08BEA3650_15_R,2156,43,0,0,1,1,3,2,10,11,10,13,11,6,1,0,0,0,0
08BEA3737,08BEA3737_15,2155,13,0,0,3,14,18,32,33,19,4,0,0,0,0,0,0,0,0
08BEA3747,08BEA3747_15,2157,3,2,1,1,4,2,16,20,26,17,18,1,1,1,0,1,0,0
08BEA3747,08BEA3747_15_R,2159,0,0,0,0,4,8,23,26,24,22,17,4,2,1,0,1,0,0
08BEA3737,08BEA3737_15_R,2158,2,2,2,11,8,15,25,44,21,4,1,0,0,0,0,0,0,0
08ISS4735,08ISS4735_15,2161,3,5,4,5,6,5,7,26,3,19,17,2,5,0,0,0,0,0
09NEW2128,09NEW2128_15,2160,12,1,0,0,0,2,3,12,12,25,17,11,7,2,0,0,0,0
08ISS4735,08ISS4735_15_R,2162,1,11,7,10,14,19,16,16,8,3,2,1,1,1,0,0,0,0
09NEW2128,09NEW2128_15_R,2163,5,0,2,5,5,0,2,14,19,15,20,16,6,4,0,0,0,0
08EVA3813,08EVA3813_15_R,2164,3,0,0,0,2,3,16,17,21,28,16,6,0,2,0,0,0,0
08SAM2865,08SAM2865_15_R,2165,6,0,1,6,9,13,10,16,19,5,19,2,1,1,0,0,0,0
09NEW2076,09NEW2076_16,2177,28,0,0,1,1,5,17,34,21,13,2,0,0,0,0,0,0,0
07SFS041891,07SFS041891_16,2182,3,0,1,4,1,1,4,8,9,17,6,10,15,19,4,0,0,0
09NEW2128,09NEW2128_16,2184,9,0,0,1,1,3,4,8,10,9,22,21,14,5,1,0,0,0
07LMS026663,07LMS026663_16,2185,0,0,0,0,0,0,0,1,0,6,5,9,14,9,9,52,7,1
08LAK2827,08LAK2827_16,2186,19,7,0,2,4,8,16,20,14,11,5,5,0,0,0,0,0,0
09COV1862,09COV1862_16,2187,3,1,1,7,11,20,23,23,31,14,5,1,0,0,0,0,0,0
09COV1756,09COV1756_16,2188,2,0,8,15,38,44,33,11,9,12,3,1,0,0,0,0,0,0
09LOW0325,09LOW0325_16,2189,1,1,0,3,1,2,11,13,20,24,14,7,2,3,0,0,0,0
09MID1374,09MID1374_16_R,2190,0,0,1,0,1,6,9,10,29,30,18,12,2,0,0,0,0,0
08SAM2862,08SAM2862_16,2191,3,0,0,0,4,4,4,10,15,19,28,21,6,1,0,0,0,0
09MID2426,09MID2426_16,2192,2,7,6,1,5,12,11,20,22,18,6,3,8,3,3,1,0,0
09LOW0753,09LOW0753_16,2193,0,0,2,4,1,3,28,27,35,13,4,0,0,0,0,0,0,0
07RAG042787,07RAG042787_16,2194,0,0,0,0,1,3,3,2,3,5,9,6,15,22,31,11,0,0
08BEA3737,08BEA3737_16,2195,15,0,0,2,8,12,27,30,8,3,0,0,0,0,0,0,0,0
08SAM3045,08SAM3045_16,2196,34,0,0,0,4,11,14,18,28,15,6,0,0,0,0,0,0,0
07SFS009443,07SFS009443_16,2197,0,0,0,0,0,0,0,0,8,12,17,24,23,13,15,15,17,0
09NEW2102,09NEW2102_16,2198,2,0,0,0,0,2,10,18,33,22,19,7,0,0,1,0,0,0
08ISS3962,08ISS3962_16,2200,17,0,0,2,3,2,5,9,22,25,18,10,15,4,2,0,0,0
08ISS4294,08ISS4294_16,2201,0,0,0,0,0,2,1,5,10,24,19,15,17,6,0,1,0,0
08ISS4884,08ISS4884_16,2202,3,0,0,1,10,8,9,15,16,22,26,10,6,7,1,0,0,0
08LAK3627,08LAK3627_16,2203,12,22,13,16,18,18,40,26,16,5,0,0,0,0,0,0,0,0
08LIT2692,08LIT2692_16,2204,0,0,0,4,0,1,6,6,16,33,20,15,1,0,0,0,0,0
07RAG004615,07RAG004615_16,2206,5,0,0,0,0,8,14,12,10,11,12,19,10,10,7,2,0,0
08LIT2781,08LIT2781_16,2207,0,0,0,1,5,13,16,37,29,15,4,1,0,0,0,0,0,0
07RAG022147,07RAG022147_16,2209,5,1,1,0,1,2,9,16,16,11,3,8,6,14,13,6,0,1
07RAG002867,07RAG002867_16,2210,0,0,0,0,2,4,2,7,18,12,13,6,8,5,13,21,2,6
09COV1418,09COV1418_16,2211,0,0,0,0,2,4,8,10,21,23,19,6,3,10,0,0,0,0
08ISS4724,08ISS4724_16,2212,7,1,1,2,5,8,11,21,27,23,10,5,0,0,0,0,0,0
07RAG012515,07RAG012515_16,2213,2,0,0,0,3,6,7,19,18,12,10,9,19,10,16,6,4,0
09MID1744,09MID1744_16,2214,4,0,1,0,4,6,11,8,15,21,19,16,11,5,2,1,0,0
07LMS093027,07LMS093027_16,2215,0,0,0,0,0,0,0,1,0,3,3,5,23,38,85,65,12,1
08SAM3047,08SAM3047_16,2216,0,6,11,6,7,19,27,26,19,9,2,1,1,0,0,0,0,0
09NEW1657,09NEW1657_16,2217,0,0,3,1,3,8,1,4,17,16,21,15,22,12,5,1,0,0
08EVA3642,08EVA3642_16,2218,15,2,2,1,2,6,9,13,15,8,11,27,13,2,0,0,0,0
08LIT2685,08LIT2685_16,2219,8,0,0,2,4,8,20,23,31,18,11,6,0,0,0,0,0,0
08LIT2585,08LIT2585_16,2220,2,0,0,0,1,1,7,24,21,27,12,5,1,0,0,0,0,0
WalkerPreserve,WalkerPreserve_16,2222,31,1,1,8,10,20,19,23,11,2,0,0,0,0,0,0,0,0
07SFS011059,07SFS011059_16,2223,0,0,0,1,1,0,4,4,19,27,31,20,21,9,0,0,0,0
09NEW2151,09NEW2151_16,2224,7,0,1,2,3,6,3,15,17,20,15,12,4,4,2,0,0,0
08BEA3571,08BEA3571_16,2225,26,0,0,2,2,5,9,14,31,20,10,4,2,1,5,5,0,0
08BEA3650,08BEA3650_16,2226,10,0,0,3,2,4,8,13,14,21,19,29,9,1,1,0,0,0
09DUW0225,09DUW0225_16,2227,0,0,0,0,0,2,10,18,21,20,25,5,2,0,0,0,0,0
09MIL0390,09MIL0390_16,2228,12,4,0,0,3,4,13,17,16,20,11,0,1,0,0,0,0,0
09DEE2208,09DEE2208_16,2229,2,0,1,2,4,7,9,17,20,21,20,19,6,2,1,0,0,0
BSE_21_GolfCrs,BSE_21_GolfCrs_16,2230,0,1,3,0,3,4,16,22,24,25,10,10,3,1,3,1,1,0
07PAT166087,07PAT166087_16_R,2232,1,0,9,10,9,5,16,18,22,6,7,4,0,0,0,0,0,0
07PAT001415,07PAT001415_16,2233,10,0,1,2,5,10,9,19,16,22,13,14,0,0,0,0,0,0
08SAM0000,08SAM0000_16,2236,21,0,0,0,3,3,17,29,44,13,0,0,0,0,0,0,0,0
07SFS066611,07SFS066611_16,2240,45,1,2,9,7,4,3,6,4,10,14,16,4,0,0,0,0,0
09JEN1318,09JEN1318_16_R,2242,37,0,0,2,1,3,7,7,6,6,7,7,9,6,6,2,0,0
08SAM2855,08SAM2855_16,2243,5,3,4,2,7,10,11,11,16,12,12,21,5,1,2,0,0,0
08LAK3616,08LAK3616_16,2244,8,0,0,1,3,13,28,32,22,13,0,0,0,0,0,0,0,0
07PAT228627,07PAT228627_16,2248,1,0,1,1,2,1,3,11,11,18,23,31,12,9,0,0,0,0
07LMS103591,07LMS103591_16,2249,0,0,0,0,0,0,0,2,0,6,10,14,9,9,15,23,10,6
07TKL072439,07TKL072439_16,2251,1,1,0,4,0,7,9,11,12,17,10,24,23,5,0,0,0,0
07TKL047047,07TKL047047_16,2252,20,2,1,7,8,5,11,10,20,18,26,12,7,2,1,0,0,0
08NOR1370,08NOR1370_16,2258,1,0,0,0,1,4,4,19,26,22,21,11,0,0,0,0,0,0
08NOR1756,08NOR1756_16,2259,4,4,3,9,12,17,24,30,28,18,2,0,0,0,0,0,0,0
08NOR2306,08NOR2306_16,2260,0,0,0,0,2,1,4,11,32,27,35,7,0,0,0,0,0,0
07RAG043443,07RAG043443_16,2261,0,0,1,0,0,3,6,7,17,12,13,7,14,10,10,9,0,0
08ISS3877,08ISS3877_16,2262,0,0,0,1,1,6,10,12,16,17,23,22,1,0,0,0,0,0
08ISS4730,08ISS4730_16,2263,0,0,1,0,3,6,4,6,15,25,23,16,8,5,0,0,0,0
08NOR2115,08NOR2115_16_R,2264,0,0,0,0,0,0,5,21,36,32,4,2,0,0,0,0,0,0
08LAK3540,08LAK3540_16,2265,0,0,0,1,0,10,13,25,32,16,18,0,0,0,0,0,0,0
08NOR1750,08NOR1750_16,2266,0,0,1,1,0,4,10,13,34,21,12,6,0,0,0,0,0,0
08LAK3699,08LAK3699_16,2267,0,0,0,1,0,1,8,14,19,22,26,12,1,1,0,0,1,0
08LAK3879,08LAK3879_16,2268,3,1,1,1,1,6,13,23,29,22,15,9,7,1,0,0,0,0
08ISS4573,08ISS4573_16_R,2269,5,0,2,5,5,3,5,12,15,13,22,7,4,3,0,0,0,0
08EVA3640,08EVA3640_16,2270,3,1,2,1,3,7,14,8,15,18,13,19,3,1,0,0,0,0
08CED4192,08CED4192_16,2271,0,0,0,2,0,3,4,8,11,10,29,21,11,9,8,0,0,0
08BEA3321,08BEA3321_16,2272,52,7,6,5,12,17,7,29,18,10,1,1,0,0,0,0,0,0
07SFS011475,07SFS011475_16_R,2273,1,3,0,0,0,0,1,2,4,7,17,18,16,19,18,6,0,0
08SAM2674,08SAM2674_16,2274,15,2,0,6,4,8,14,17,17,13,6,6,0,0,0,0,0,0
BSE_1_MudMtnRd,BSE_1_MudMtnRd_16,2275,5,0,3,5,5,15,15,20,21,12,1,0,0,0,1,0,0,0
08CED2898,08CED2898_16,2276,24,19,4,7,16,20,21,8,8,5,2,1,0,0,0,0,0,0
08SAM1914,08SAM1914_16,2277,6,0,0,4,3,8,4,10,8,16,21,18,8,1,1,3,0,0
08ISS4748,08ISS4748_16,2278,9,1,0,1,2,0,5,9,5,4,9,6,20,15,12,2,1,0
08LAK3628,08LAK3628_16,2279,9,0,0,0,1,8,12,20,33,16,17,3,1,1,0,0,0,0
08LAK3880,08LAK3880_16,2280,23,0,1,0,1,8,12,6,17,12,7,6,8,2,0,1,0,0
08CED2518,08CED2518_16,2281,7,1,3,8,6,1,9,8,19,16,11,12,9,0,0,0,0,0
08BEA3747,08BEA3747_16,2282,0,1,0,0,2,3,14,23,38,30,7,3,1,0,0,0,0,0
08BEA3826,08BEA3826_16,2283,0,0,0,1,1,7,11,14,21,15,18,12,5,4,1,0,0,0
08BEA3914,08BEA3914_16,2284,0,0,1,0,0,6,10,26,35,26,25,9,4,0,0,0,0,0
08CED2711,08CED2711_16,2285,0,0,3,8,8,12,12,14,13,9,18,18,5,2,0,0,0,0
08NOR1362,08NOR1362_16_R,2286,2,0,2,1,2,5,7,6,19,21,27,27,20,10,0,2,0,0
Miller_SWSSD,Miller_SWSSD_16,2287,0,0,1,0,1,0,1,7,13,28,33,19,9,1,0,0,0,0
Miller_Cove,Miller_Cove_16,2288,20,0,2,3,10,13,57,40,24,7,0,0,0,0,0,0,0,0
09DUW0277,09DUW0277_16,2289,7,14,0,7,10,13,10,16,13,16,7,3,0,0,1,0,0,0
09DEE2294,09DEE2294_16,2291,1,0,0,0,1,2,1,3,8,15,20,22,18,7,3,1,0,0
09DEE2163,09DEE2163_16,2292,40,0,0,0,0,3,11,25,26,8,1,0,0,0,0,0,0,0
08LIT2682,08LIT2682_16,2293,1,0,0,0,0,7,14,19,22,21,20,8,2,0,0,0,0,0
09MIL0340,09MIL0340_16,2294,0,0,0,0,2,4,15,12,23,20,13,9,5,2,2,0,0,0
09LOW0751,09LOW0751_16,2295,0,0,0,0,0,1,7,10,20,23,31,9,0,1,0,1,0,0
09DUW0091,09DUW0091_16,2296,0,0,0,2,8,7,13,20,12,10,14,6,2,6,0,0,0,0
08SAM2865,08SAM2865_16,2297,26,0,0,1,1,8,7,13,17,14,10,6,3,1,0,0,0,0
08BEA3312,08BEA3312_16,2298,0,0,0,0,2,1,11,16,22,31,18,2,2,0,0,0,0,0
08LAK3121,08LAK3121_16,2299,6,0,1,0,3,10,14,18,9,24,17,14,0,1,0,0,0,0
08EVA3813,08EVA3813_16,2300,23,0,3,4,7,13,22,27,26,8,7,3,0,0,0,0,0,0
09MID1537,09MID1537_16,2301,12,1,1,2,2,5,5,17,16,9,18,2,0,1,0,0,0,0
09MID1817,09MID1817_16,2302,1,0,0,0,0,0,3,9,12,11,18,15,7,13,10,11,4,0
07LNT062039,07LNT062039_16,2304,0,0,0,0,3,6,2,4,3,12,17,19,10,20,9,5,0,0
09JEN1357,09JEN1357_16,2305,10,1,6,11,11,7,15,20,6,7,4,4,0,0,0,0,0,0
07LNT075179,07LNT075179_16,2306,3,2,1,3,4,2,13,16,22,31,11,10,3,0,0,0,0,0
07STL080295,07STL080295_16,2309,0,0,0,1,3,0,2,3,19,13,33,40,46,28,7,0,1,0
07GRN022903,07GRN022903_16,2310,0,1,1,4,6,5,4,13,24,22,28,8,2,4,1,1,0,0
07LNT130827,07LNT130827_16,2311,0,0,0,0,1,2,3,5,10,10,15,15,22,15,26,18,4,0
08LIT2602,08LIT2602_16_R,2312,17,1,5,10,16,27,29,10,11,3,0,0,0,0,0,0,0,0
08CED2433,08CED2433_16,2313,10,0,0,0,2,4,12,13,22,22,14,9,3,0,1,0,0,0
09COV1165,09COV1165_16,2314,1,2,0,0,3,5,6,5,19,24,24,15,17,7,7,10,2,0
07RAG018227,07RAG018227_16,2315,9,1,2,1,5,6,9,11,17,18,12,18,9,2,2,2,0,0
07PAT231079,07PAT231079_16,2318,1,0,0,1,1,6,4,8,13,20,12,7,18,8,0,5,0,0
07STL184007,07STL184007_16,2319,17,0,0,0,1,0,2,7,11,19,23,15,22,9,3,0,0,0
07CHR070059,07CHR070059_16,2320,3,0,1,2,4,7,12,10,8,22,17,16,6,11,1,0,0,0
07CHR234411,07CHR234411_16,2321,0,0,0,0,1,4,3,3,1,13,27,30,13,11,0,0,0,0
07CHR045515,07CHR045515_16,2322,5,3,4,6,2,5,11,8,6,9,11,9,21,17,14,3,0,0
07LMS033235,07LMS033235_16,2323,0,0,0,0,0,2,5,10,15,24,26,31,21,3,0,0,0,0
07LMS055075,07LMS055075_16,2324,0,0,0,1,2,2,18,34,31,36,13,14,2,1,0,0,1,1
09SOO1283,09SOO1283_16_R,2328,10,10,3,4,7,9,10,5,15,13,4,4,6,5,0,0,0,0
09BLA0756,09BLA0756_16,2329,4,2,3,5,13,19,15,16,10,15,7,2,0,0,0,0,0,0
08WES0622,08WES0622_16,2330,29,8,7,8,10,19,12,7,3,0,0,0,0,0,0,0,0,0
08ISS4735,08ISS4735_16,2331,9,3,4,7,12,5,8,3,12,12,9,5,7,2,0,0,0,0
08EAS2540,08EAS2540_16,2332,8,5,3,5,13,3,6,14,17,19,12,10,3,2,1,0,0,0
08EAS2446,08EAS2446_16,2333,0,4,5,8,5,14,18,14,13,9,11,6,1,1,0,0,0,0
08EAS1536,08EAS1536_16,2334,7,2,3,7,7,5,13,16,19,13,12,7,1,0,0,0,0,0
08WES0629,08WES0629_16,2335,0,0,0,0,1,10,33,36,20,4,6,1,0,0,0,0,0,0
08WES0903,08WES0903_16,2336,17,2,3,3,7,10,19,7,21,16,7,0,0,0,0,0,0,0
09BLA0675,09BLA0675_16,2337,4,4,6,8,7,6,7,16,16,15,18,5,0,0,0,0,0,0
09BLA0716,09BLA0716_16,2338,8,2,5,3,5,5,9,11,15,17,16,5,1,1,0,0,0,0
08EAS2631,08EAS2631_16,2339,2,3,2,2,3,5,4,11,22,31,13,5,11,3,3,1,0,0
08EAS2191,08EAS2191_16,2340,5,0,2,2,13,20,27,15,13,5,0,0,0,0,0,0,0,0
08EAS2058,08EAS2058_16,2342,2,0,3,4,3,6,5,13,19,15,14,5,5,3,1,1,0,0
08EAS1964,08EAS1964_16,2343,3,6,4,6,4,4,5,14,18,26,10,9,5,0,0,0,0,0
07HAR070087,07HAR070087_16,2344,3,0,6,4,13,13,23,20,24,14,3,1,0,0,0,0,0,0
07GRN077319,07GRN077319_16,2345,0,0,0,1,3,5,22,31,29,16,11,6,0,0,0,0,0,0
08EAS2272,08EAS2272_16,2347,1,0,2,5,4,8,10,10,15,18,8,9,7,4,3,1,1,0
08EAS2546,08EAS2546_16,2348,3,7,10,10,11,13,14,12,15,11,7,4,1,0,0,0,0,0
08WES0905,08WES0905_16,2349,6,6,4,4,3,5,12,16,28,21,19,0,1,1,0,0,0,0
07HAR025863,07HAR025863_16,2350,2,1,2,1,4,6,2,13,15,19,15,13,14,8,1,0,0,0
07PAT187623,07PAT187623_16_R,2351,38,0,0,3,5,9,17,13,13,13,6,2,1,0,0,0,0,0
07LMS213875,07LMS213875_16,2352,9,2,0,2,2,2,6,8,28,29,47,25,19,19,14,3,0,0
09DEE2211,09DEE2211_16_R,2353,9,0,1,1,3,2,3,12,13,25,15,23,8,4,0,0,0,0
08EAS2191,08EAS2191_16_R,2354,2,4,3,14,14,22,23,22,5,2,4,0,0,0,0,0,0,0
08WES1037,08WES1037_16,2355,54,2,2,3,11,6,3,2,5,3,8,1,0,0,0,1,0,0
08WES1178,08WES1178_16,2356,6,0,2,1,7,9,19,15,20,17,16,11,2,0,0,0,0,0
08WES1340,08WES1340_16,2357,18,0,3,1,7,5,16,10,9,17,9,5,6,0,0,0,0,0
08WES1579,08WES1579_16,2358,22,7,14,11,16,17,5,6,8,6,5,2,0,1,0,0,0,0
09BLA0722,09BLA0722_16,2359,5,4,4,6,8,12,14,19,26,16,9,7,0,0,0,0,0,0
09BLA0768,09BLA0768_16,2360,18,5,4,5,13,7,12,17,7,14,9,0,3,0,0,0,0,0
09BLA0771,09BLA0771_16,2361,3,8,8,7,10,13,17,12,15,19,7,2,0,0,0,0,0,0
09BLA0772,09BLA0772_16,2362,10,5,10,6,22,10,7,6,8,6,5,9,5,0,0,0,0,0
09BLA0817,09BLA0817_16,2363,7,5,11,19,19,19,16,9,1,1,0,0,0,0,0,0,0,0
09SOO0943,09SOO0943_16,2364,12,2,3,3,6,11,20,29,12,6,1,0,0,0,0,0,0,0
09SOO1022,09SOO1022_16,2365,4,7,6,9,8,12,10,12,12,21,8,9,4,2,0,0,0,0
09SOO1130,09SOO1130_16,2366,6,0,0,2,2,2,3,4,7,22,22,22,12,4,3,0,0,0
09SOO1134,09SOO1134_16,2367,5,0,0,2,6,9,6,10,9,14,15,14,15,3,3,5,1,0
09SOO1209,09SOO1209_16,2368,16,4,6,5,9,7,11,14,11,8,11,4,2,0,0,0,0,0
VashChris,VashChris_16,2370,28,3,12,13,22,13,20,13,2,5,0,0,0,0,0,0,0,0
VashShing,VashShing_16,2371,39,0,1,12,19,27,23,10,6,0,0,0,0,0,0,0,0,0
28A,28A_16,2372,31,3,8,11,6,13,12,11,4,7,9,9,2,0,1,0,1,0
08EVA3637,08EVA3637_16,2373,24,0,0,2,5,6,21,25,15,14,1,0,0,0,0,0,0,0
08LIT2603,08LIT2603_16,2374,2,0,0,1,4,4,15,26,25,15,12,2,0,0,0,0,0,0
08CED4975,08CED4975_16,2375,13,4,0,9,10,23,20,24,11,6,1,0,0,0,0,0,0,0
08CED5032,08CED5032_16,2376,8,4,2,3,4,7,9,10,10,7,3,7,7,6,6,8,6,1
08CED5046,08CED5046_16,2377,7,0,0,4,1,3,7,5,10,12,11,5,22,6,8,5,0,0
08LIT2685,08LIT2685_15,1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1264,E1264_14,1894,10,4,0,1,3,9,16,19,18,17,6,3,1,0,0,0,0,0
08ISS4730,08ISS4730_15,1914,7,1,1,1,3,5,10,18,15,8,4,9,14,11,1,0,0,0
BSE_8_268thAveSE,BSE_8_268thAveSE_16,2179,10,0,0,0,2,3,14,11,33,34,12,2,0,0,0,0,0,0
