"","Subbasin","RKTtau_Tot_Richness_Score","RKTtau_E_Richness_Score","RKTtau_P_Richness_Score","RKTtau_T_Richness_Score","RKTtau_Cling_Richness_Score","RKTtau_LL_Richness_Score","RKTtau_Intol_Richness_Score","RKTtau_Dom_Percent_Score","RKTtau_Pred_Percent_Score","RKTtau_Tol_Percent_Score","RKTpval_Overall.Score","RKTpval_Tot_Richness_Score","RKTpval_E_Richness_Score","RKTpval_P_Richness_Score","RKTpval_T_Richness_Score","RKTpval_Cling_Richness_Score","RKTpval_LL_Richness_Score","RKTpval_Intol_Richness_Score","RKTpval_Dom_Percent_Score","RKTpval_Pred_Percent_Score","RKTpval_Tol_Percent_Score","RKTtrend_Overall.Score","RKTtrend_Tot_Richness_Score","RKTtrend_E_Richness_Score","RKTtrend_P_Richness_Score","RKTtrend_T_Richness_Score","RKTtrend_Cling_Richness_Score","RKTtrend_LL_Richness_Score","RKTtrend_Intol_Richness_Score","RKTtrend_Dom_Percent_Score","RKTtrend_Pred_Percent_Score","RKTtrend_Tol_Percent_Score"
"1","Bear Creek Subbasin",0.158088235294118,-0.0174632352941176,0.103860294117647,0.15625,0.165441176470588,0.00551470588235294,0.0873161764705882,0.113970588235294,0.121323529411765,-0.198529411764706,0.0511704759946101,0.0125957394181071,0.787359900829566,0.0849975163034509,0.0107994195163583,0.00874211265836422,0.93948241059941,0.137191212258315,0.0719587076686365,0.0458802304473156,0.00186289442364718,"none","positive","none","none","positive","positive","none","none","none","positive","negative"
"137","Black River Subbasin",0.253714285714286,0.0342857142857143,0.180571428571429,0.187428571428571,0.224,0.211428571428571,0.0662857142857143,0.208,0.106285714285714,0.0171428571428571,5.98757587342291e-05,3.73410035270361e-05,0.579012942255774,0.00281728543773818,0.0017298767504812,0.000207650757505062,0.000586024749700487,0.0711837456723996,0.00211115895473446,0.0971737283983789,0.806389408051263,"positive","positive","none","positive","positive","positive","positive","none","positive","none","none"
"259","Coal Creek (Cedar) Subbasin",0.497142857142857,0.16,0.331428571428571,0.268571428571429,0.474285714285714,0.222857142857143,0.291428571428571,0.285714285714286,0.0971428571428571,0.0571428571428571,0.00501386623004385,0.000722202099064262,0.237900197001605,0.0194850980163193,0.0591773408250753,0.00108378191362468,0.122159739842587,0.00516527155511581,0.0559805146480641,0.532275376408736,0.72556253877219,"positive","positive","none","positive","none","positive","none","positive","none","none","none"
"286","Coal Creek (Green) Subbasin",0.143322475570033,-0.140065146579805,0.244299674267101,-0.00325732899022801,0.205211726384365,0.335504885993485,-0.0423452768729642,0.0977198697068404,0.0488599348534202,0.0781758957654723,0.182435398037806,0.245915612119972,0.151692750351506,0.0440330249993302,1,0.0802566075874038,0.00525545585448439,0.676226672573603,0.435670617236612,0.708710853146159,0.538945518979932,"none","none","none","positive","none","none","positive","none","none","none","none"
"322","Covington Creek Subbasin",0.199417758369723,0.109170305676856,0.0553129548762737,0.107714701601164,0.286754002911208,0.0407569141193595,0.251819505094614,-0.0334788937409025,0.0815138282387191,-0.0713245997088792,0.0690975736188983,0.0117128141030172,0.143772083434848,0.47128832275188,0.167060656709908,0.000269280117157322,0.59204713761738,0.00094961119855963,0.685219775897658,0.302612384482385,0.37873590048929,"none","positive","none","none","none","positive","none","positive","none","none","none"
"407","Deep Creek Subbasin",-0.33175355450237,-0.436018957345972,-0.113744075829384,-0.104265402843602,-0.312796208530806,-0.232227488151659,-0.492890995260663,-0.393364928909953,-0.336492890995261,-0.018957345971564,0.000506413852265242,0.0152490008867998,0.00114287113998435,0.405960195951172,0.439303397572371,0.0205304803688588,0.0870783043402279,0.000243288719991464,0.00404427988341149,0.0142860264857285,0.916865135195617,"negative","negative","negative","none","none","negative","none","negative","negative","negative","none"
"437","Duwamish River Subbasin",0.181818181818182,-0.206611570247934,0.0165289256198347,0.181818181818182,0.0909090909090909,0.239669421487603,-0.0743801652892562,0.00826446280991736,-0.148760330578512,-0.396694214876033,0.30341254524038,0.262105001664199,0.177666650291611,0.954412806549034,0.244796060469985,0.577927266220702,0.124555847512429,0.550615759928871,1,0.37979902829109,0.0129063396350217,"none","none","none","none","none","none","none","none","none","none","negative"
"460","E Lake Sammamish Subbasin",0.173451327433628,-0.0141592920353982,0.269026548672566,0.047787610619469,0.0849557522123894,0.187610619469027,0.161061946902655,0.106194690265487,0.0690265486725664,0.063716814159292,0.079104178360357,0.0505307093027374,0.881095321527321,0.00174792086980391,0.572500025468492,0.339901544694638,0.0305238926222395,0.051330137700319,0.238375427168904,0.446252484702759,0.484509204895,"none","none","none","positive","none","none","positive","none","none","none","none"
"529","E Lake Washington - Kenmore N Subbasin",0.341666666666667,-0.441666666666667,0.375,0.0333333333333333,-0.208333333333333,0.258333333333333,-0.075,0.00833333333333333,0.4,-0.375,1,0.0639824896298031,0.00709274812393335,0.0198735356908217,0.878429513108325,0.260879848632562,0.129551352904409,0.385546631571102,1,0.0186747436323631,0.0151714620335095,"none","none","negative","positive","none","none","none","none","none","positive","negative"
"545","E Lake Washington - Kenmore S Subbasin",0.114285714285714,0.39047619047619,0.0380952380952381,0.371428571428571,0.247619047619048,0.19047619047619,-0.0952380952380952,0.171428571428571,-0.142857142857143,-0.247619047619048,0.488422316622593,0.577522884388024,0.0208502522144065,0.875505018002981,0.0507428725885175,0.203207420709429,0.333506773405866,0.518891575628039,0.399612296231828,0.488422316622593,0.215457785807379,"none","none","positive","none","none","none","none","none","none","none","none"
"560","Evans Creek Subbasin",0.152482269503546,0.0319148936170213,0.265957446808511,0.170212765957447,0.184397163120567,0.308510638297872,0.365248226950355,0.304964539007092,0.152482269503546,0.209219858156028,0.00110618580976296,0.172310695312263,0.788691556639265,0.0133779131021396,0.115834274874378,0.0952808470082847,0.00373628854398089,0.00042023219602827,0.00551426040785929,0.171706099412169,0.0603609925006789,"positive","none","none","positive","none","none","positive","positive","positive","none","none"
"609","Forbes Creek Subbasin",0.204678362573099,0,0.0467836257309941,-0.152046783625731,0.187134502923977,0.239766081871345,0,0.274853801169591,-0.12280701754386,-0.116959064327485,0.363020384944015,0.181102833330451,1,0.747987010168518,0.272937655706606,0.184078896075012,0.136671179545833,1,0.106537773644636,0.478121637735797,0.505965403792183,"none","none","none","none","none","none","none","none","none","none","none"
"628","Issaquah Creek Subbasin",0.180327868852459,-0.0426229508196721,0.0467213114754098,0.0786885245901639,0.19016393442623,0.213114754098361,0.0254098360655738,0.0983606557377049,0.213114754098361,-0.113934426229508,0.00264563744264334,0.00162501934429171,0.401744120390404,0.401924355581333,0.169359672876653,0.000700842148818603,0.000137625055858015,0.623386823662367,0.0966223330620424,0.000321347863377452,0.0550062244456633,"positive","positive","none","none","none","positive","positive","none","none","positive","none"
"787","Jenkins Creek Subbasin",0.293040293040293,0.278388278388278,0.271062271062271,0.205128205128205,0.326007326007326,0.227106227106227,0.351648351648352,0.197802197802198,0.205128205128205,-0.0586080586080586,0.00450456584691783,0.0213871476891392,0.025673483267854,0.0293539570464667,0.0939051019077155,0.00978324433907574,0.0604170085455489,0.00387595083686443,0.121692999715771,0.110153008232176,0.662710266904092,"positive","positive","positive","positive","none","positive","none","positive","none","none","none"
"821","Kelsey Creek Subbasin",0.61437908496732,0.0326797385620915,0.555555555555556,0.490196078431373,0.627450980392157,0.535947712418301,0.0326797385620915,0.535947712418301,0.516339869281046,0.104575163398693,1.5740813594789e-05,0.000100855139195222,0.699870310412416,0.000507176690470512,0.00187381137136899,6.91731130417761e-05,0.00105282690706932,0.699870310412416,0.00188528961197743,0.00109774263591711,0.568904326613409,"positive","positive","none","positive","positive","positive","positive","none","positive","positive","none"
"839","Little Bear Creek Subbasin",0.147113594040968,-0.0344506517690875,0.195530726256983,0.0251396648044693,0.310055865921788,0.143389199255121,0.149906890130354,0.0260707635009311,0.0251396648044693,0.0540037243947858,0.0136096921917892,0.023918994373493,0.589192377309577,0.001998144905621,0.690633542747905,1.39914716501544e-06,0.0233561282870234,0.0117260148931162,0.695582409061675,0.709666987996837,0.415639859515747,"positive","positive","none","positive","none","positive","positive","positive","none","none","none"
"965","Lower Cedar River Subbasin",0.151079136690647,0.012589928057554,0.0683453237410072,0.26978417266187,0.172661870503597,0.16726618705036,0.0629496402877698,0.174460431654676,0.190647482014388,-0.282374100719424,0.000807738320823592,0.0526957469512401,0.889891847815301,0.378073108407177,0.000685926543979587,0.0280582747516973,0.0118039896481776,0.374813241406103,0.0279792587555765,0.0203916722373612,0.000712700768660923,"positive","none","none","none","positive","positive","positive","none","positive","positive","negative"
"1048","Lower Green River - E Subbasin",0.144329896907216,0.0206185567010309,0.0515463917525773,0.116838487972509,-0.00687285223367698,0.264604810996564,0.151202749140893,0.402061855670103,0.281786941580756,0.22680412371134,0.046697756096697,0.254260306672729,0.882749446189286,0.677376666515443,0.344503721195367,0.97717221915536,0.0314277901834168,0.220546512650233,0.00124823488517789,0.0249281473282592,0.0719319477767564,"positive","none","none","none","none","none","positive","none","positive","positive","none"
"1083","Lower Green River - W Subbasin",0.0476190476190476,-0.304761904761905,0.133333333333333,0.0952380952380952,-0.00952380952380952,0.019047619047619,-0.114285714285714,0.171428571428571,0.133333333333333,-0.0476190476190476,0.692180772721877,0.7972151832249,0.0252711617768706,0.132463566807951,0.632725068676469,1,0.952231911064188,0.203017106049214,0.312519009147248,0.510718919412707,0.833710168719911,"none","none","negative","none","none","none","none","none","none","none","none"
"1098","Lyon Creek Subbasin",0.5,0.0333333333333333,0.616666666666667,0.308333333333333,0.408333333333333,0.366666666666667,0.025,0.45,0.541666666666667,0.3,0.00456226115322256,0.00748495614282541,0.89024928705942,0.000623821823493742,0.0883787055506753,0.0294007302541406,0.0492092457915465,0.828262540835311,0.0168004921710698,0.00392202748122905,0.111876612272282,"positive","positive","none","positive","none","positive","positive","none","positive","positive","none"
"1114","May Creek Subbasin",0.236641221374046,0.0178117048346056,0.0432569974554707,0.251908396946565,0.0687022900763359,0.0559796437659033,0,0.239185750636132,-0.0458015267175573,-0.195928753180662,0.223016535088191,0.0238718418732511,0.875039369608837,0.684736953286997,0.0111857917032279,0.519880134130634,0.597514412667845,1,0.0225082945015369,0.676619073479432,0.0636827960839883,"none","positive","none","none","positive","none","none","none","positive","none","none"
"1164","McAleer Creek Subbasin",0.235294117647059,-0.0220588235294118,-0.125,0.00735294117647059,0.110294117647059,0.404411764705882,-0.0294117647058824,-0.191176470588235,-0.25,-0.132352941176471,0.901649504895373,0.198022866674055,0.925677715914221,0.482196877594193,1,0.559327721959356,0.0226147005385473,0.759462865379934,0.303096532467549,0.173302304550783,0.483755786496452,"none","none","none","none","none","none","positive","none","none","none","none"
"1181","Mercer Slough Subbasin",0.381818181818182,0,0.109090909090909,0.0363636363636364,0.163636363636364,0.127272727272727,0,0.363636363636364,0.163636363636364,-0.163636363636364,0.310044123876524,0.0451406255721547,1,0.614706239414349,0.918707405428289,0.34910372991679,0.579099741953919,1,0.104107606562026,0.522283515664183,0.422936763859057,"none","positive","none","none","none","none","none","none","none","none","none"
"1192","Middle Green River Subbasin",0.212534059945504,0.00681198910081744,0.262942779291553,0.0190735694822888,0.0653950953678474,0.0831062670299728,0.123978201634877,-0.0681198910081744,0.0667574931880109,0.00544959128065395,0.110507726585456,0.00509763715794742,0.939875010731338,0.000231722528783562,0.809069798006995,0.393245642641201,0.258392213235386,0.076852748252392,0.379130913656545,0.379695686651885,0.956712133252646,"none","positive","none","positive","none","none","none","none","none","none","none"
"1288","Mill Creek Subbasin",0.271739130434783,-0.199275362318841,0.293478260869565,0.181159420289855,0.0434782608695652,-0.0688405797101449,0.0326086956521739,0.192028985507246,0.0543478260869565,-0.246376811594203,0.407410763206717,0.0320126945820389,0.0834231383601018,0.0183038590268303,0.144221683167611,0.741946790282349,0.596360932829368,0.78248584807497,0.136069305539968,0.66694467091798,0.0549522624013186,"none","positive","none","positive","none","none","none","none","none","none","none"
"1322","Miller Creek Subbasin",0.377777777777778,-0.0333333333333333,0.511111111111111,0.0444444444444444,0.133333333333333,0.411111111111111,0,0.366666666666667,0.344444444444444,0.188888888888889,0.0136411557949685,0.030268714628173,0.887443872260618,0.00160063547910516,0.833902102148574,0.462358730089593,0.013637241336379,1,0.0390027219167004,0.0516578177737357,0.237759468533387,"positive","positive","none","positive","none","none","positive","none","positive","none","none"
"1342","Newaukum Creek Subbasin",0.219336219336219,-0.0274170274170274,0.0649350649350649,0.174603174603175,0.292929292929293,0.318903318903319,0.106782106782107,0.17027417027417,0.0432900432900433,0.00432900432900433,0.00106595835333723,0.00608457678678165,0.720853557221165,0.404585964251995,0.0198339137759489,0.000224391666937329,4.83142037068784e-05,0.167516537222046,0.0345613291472346,0.600779093875102,0.971244681073587,"positive","positive","none","none","positive","positive","positive","none","positive","none","none"
"1427","North Creek Subbasin",0.289634146341463,0.298780487804878,0.310975609756098,0.179878048780488,0.320121951219512,0.152439024390244,0.414634146341463,0.185975609756098,0.149390243902439,0.13719512195122,0.000128155756017989,0.00984916773332811,0.00500996760959316,0.00410795728842173,0.0828520254392537,0.00406536065255603,0.151058028923896,2.62558537127422e-05,0.100645601417852,0.189163479741707,0.23184840688192,"positive","positive","positive","positive","none","positive","none","positive","none","none","none"
"1472","Sammamish River Subbasin",0.0735735735735736,-0.00750750750750751,0.244744744744745,0.0630630630630631,0.184684684684685,0.246246246246246,0.0900900900900901,0.241741741741742,0.132132132132132,-0.0795795795795796,0.0026103679039442,0.291537840085681,0.920484541707556,0.000341275418359821,0.367583940996467,0.00879367416459265,0.000505533064423247,0.0866745898669192,0.0012509340618172,0.0734771078425931,0.278138406789309,"positive","none","none","positive","none","positive","positive","none","positive","none","none"
"1571","Soos Creek Subbasin",0.232309746328438,0.0694259012016021,0.177570093457944,-0.0347129506008011,0.117489986648865,0.113484646194927,0.213618157543391,0.101468624833111,0.0507343124165554,0.0240320427236315,0.0502227825180435,0.00275837336199758,0.368087102614135,0.0191993253573612,0.653422094755318,0.120523129714518,0.123631428624482,0.00423596961702999,0.193082803159361,0.50684713472233,0.769996055001796,"none","positive","none","positive","none","none","none","positive","none","none","none"
"1660","Swamp Creek Subbasin",0.0879478827361563,0.205211726384365,-0.0912052117263844,-0.221498371335505,-0.0912052117263844,-0.0977198697068404,-0.0162866449511401,0.0749185667752443,0.149837133550489,-0.0260586319218241,0.957467580833265,0.484887128061319,0.0888379577309877,0.456479450610038,0.0416640769712668,0.466584443343181,0.421571817623689,0.901272031106227,0.557439275224893,0.228991009579144,0.851874265253743,"none","none","none","none","negative","none","none","none","none","none","none"
"1696","Thornton Creek Subbasin",-0.0175438596491228,-0.105263157894737,-0.0409356725146199,0.0760233918128655,-0.0584795321637427,0.204678362573099,-0.105263157894737,0.321637426900585,-0.0584795321637427,0.105263157894737,0.0635432497785806,0.911482879862776,0.120690800527446,0.765594483995764,0.650069676761683,0.679538264321718,0.181102833330451,0.120690800527446,0.0543448891376996,0.713455289601045,0.400382304266562,"none","none","none","none","none","none","none","none","none","none","none"
"1715","Tibbetts Creek Subbasin",0.167539267015707,0.0942408376963351,0.12565445026178,0.214659685863874,0.104712041884817,-0.0261780104712042,0.0890052356020942,0.00523560209424084,0.0104712041884817,-0.0575916230366492,0.715784794545751,0.256591650732269,0.518926245601294,0.384446582427437,0.115068894890408,0.483511045619366,0.88227927464607,0.494168353685472,1,0.970858899528795,0.715423688411205,"none","none","none","none","none","none","none","none","none","none","none"
"1743","Upper Cedar River Subbasin",0.198529411764706,-0.0220588235294118,0.294117647058824,0,0.132352941176471,0.272058823529412,0,0.338235294117647,0.544117647058823,-0.0808823529411765,0.174033580208164,0.24096916693695,0.925461820305403,0.066593795123336,1,0.46305117128797,0.125343724208455,1,0.0572238508776777,0.00228455986358167,0.671589591816205,"none","none","none","none","none","none","none","none","none","positive","none"
"1760","Vashon-Maury Island Subbasin",0.280254777070064,0.292993630573248,0.0636942675159236,0.191082802547771,0.452229299363057,0.152866242038217,0.375796178343949,0.337579617834395,0.248407643312102,0.0764331210191083,0.0102588676222686,0.0639233491723807,0.0434661130006662,0.68888944274479,0.192270352962727,0.0023386033716899,0.311290185562909,0.00961080066247177,0.0221983105914598,0.103368572053657,0.615611943699026,"positive","none","positive","none","none","positive","none","positive","positive","none","none"
"1786","W Lake Sammamish Subbasin",0.219178082191781,-0.091324200913242,-0.0319634703196347,0.296803652968037,0.301369863013699,0.132420091324201,0.127853881278539,0.406392694063927,0.19634703196347,-0.205479452054795,0.144605568537566,0.110648753446623,0.379454667936753,0.821636417576968,0.0241477600276949,0.0265410756272981,0.332362108000609,0.138784673218883,0.00352616621404955,0.161124949289052,0.140911851677252,"none","none","none","none","positive","positive","none","none","positive","none","none"
"1816","W Lake Washington - Seattle N Subbasin",0.104575163398693,0.0718954248366013,0.0588235294117647,-0.0980392156862745,-0.0457516339869281,0.294117647058824,0,0.163398692810458,-0.143790849673203,-0.0588235294117647,0.649445669217466,0.544945977997533,0.555460895842073,0.637156955685199,0.553995151106411,0.79978777615182,0.0761806036059949,1,0.362626416987624,0.424473067439577,0.761873394777985,"none","none","none","none","none","none","none","none","none","none","none"
"1834","W Lake Washington - Seattle S Subbasin",0.238461538461538,-0.0102564102564103,0.133333333333333,0.102564102564103,0.258974358974359,0.333333333333333,0.00512820512820513,0.292307692307692,0.212820512820513,-0.0512820512820513,0.00983568608512075,0.00526360722545416,0.903374114888362,0.108080590511203,0.235333266509586,0.00359670494114162,0.00015889873078101,0.96061130254536,0.00339629596477464,0.0300298157644998,0.626017605988055,"positive","positive","none","none","none","positive","positive","none","positive","positive","none"
