"","Subbasin","mean_Overall.Score","SD_overallscore","SE_overallscore","len","RKT_trend","Avg_RKTSlope_Overall.Score","Avg_RKTtau_Overall.Score","Avg_RKTpval_Overall.Score","sites","min","max","med"
"1","Bear Creek Subbasin",55.6736157728385,16.22043481903,1.39089081092997,136,"none",0.309801292564712,0.125,0.0511704759946101,9,14.4513121037889,87.7631750374568,57.234614837367
"2","Black River Subbasin",25.5040631970026,14.4039176245483,1.30406942807346,122,"positive",0.490349505775399,0.272,5.98757587342291e-05,8,0,61.8015684445953,25.5723787066846
"3","Coal Creek (Cedar) Subbasin",34.7439535086894,10.9622056474108,2.10967746048155,27,"positive",1.37694965106947,0.417142857142857,0.00501386623004385,2,13.3301359303411,56.5436562221788,31.5707300055885
"4","Coal Creek (Green) Subbasin",75.8466198064066,13.9333913848662,2.32223189747771,36,"none",0.554927167725513,0.166123778501629,0.182435398037806,2,40.077731092437,93.4005167958656,78.3034901435074
"5","Covington Creek Subbasin",62.1057547774912,13.5483831511056,1.46952847983595,85,"none",0.353652867205637,0.147016011644833,0.0690975736188983,5,12.8006290235392,87.5458802043869,62.2290768816707
"6","Deep Creek Subbasin",65.7053113003667,16.039296928609,2.92836157810749,30,"negative",-1.7687072789132,-0.478672985781991,0.000506413852265242,2,30.8209362896525,87.999886000912,65.2749086578736
"7","Duwamish River Subbasin",22.6369849227542,13.2011878603606,2.75263795156046,23,"none",-0.543583406434788,-0.173553719008264,0.30341254524038,2,4.34816207184628,47.0665054679563,19.8273348098929
"8","E Lake Sammamish Subbasin",47.2004761249695,13.6137622734734,1.63890438499895,69,"none",0.4469038176266,0.157522123893805,0.079104178360357,4,16.1444051304732,72.2979910446431,47.6112776812071
"9","E Lake Washington - Kenmore N Subbasin",11.7711482593854,4.06198189641364,1.01549547410341,16,"none",-0.0203065951229972,0,1,1,6.2092731829574,17.5065070908004,11.5540175678595
"10","E Lake Washington - Kenmore S Subbasin",34.227629950389,13.4543844048627,3.47390711556707,15,"none",0.544191860750825,0.142857142857143,0.488422316622593,1,6.94269102990033,51.4171506627947,40.0688843060684
"11","Evans Creek Subbasin",51.396661885014,18.209098401303,2.60129977161472,49,"positive",1.32165895847437,0.361702127659574,0.00110618580976296,4,4.87394957983193,79.1388671747769,55.3453772369821
"12","Forbes Creek Subbasin",11.0864818870923,4.40315239025408,1.01015243695406,19,"none",0.225925764022475,0.157894736842105,0.363020384944015,1,2.48800295311923,18.1378966111128,11.1058314390628
"13","Issaquah Creek Subbasin",74.5910423812746,13.2735601274335,1.05266179071862,159,"positive",0.582264484741269,0.178688524590164,0.00264563744264334,10,29.7647407392169,100,75.2286773134387
"14","Jenkins Creek Subbasin",50.7377997488625,12.4691509943214,2.13844175345442,34,"positive",0.98825809393525,0.362637362637363,0.00450456584691783,2,24.7280578898226,79.7873768438424,51.4252201696672
"15","Kelsey Creek Subbasin",14.4798472247143,10.7363615961581,2.53058469663808,18,"positive",1.84142526859785,0.751633986928105,1.5740813594789e-05,1,0,33.2724926772014,12.0835397602534
"16","Little Bear Creek Subbasin",52.5161392847179,12.1785774416927,1.08495391059781,126,"positive",0.477887701623672,0.162011173184358,0.0136096921917892,7,17.4642600002057,78.9448841552125,53.4107852851462
"17","Lower Cedar River Subbasin",64.1386670490113,27.4228921827661,3.01005346721838,83,"positive",0.554499468766152,0.282374100719424,0.000807738320823592,6,13.078197945845,99.9483204134367,68.3566114328228
"18","Lower Green River - E Subbasin",52.7175224190043,18.3070529151883,3.0944567325623,35,"positive",0.805960961836113,0.25085910652921,0.046697756096697,2,21.171666912379,85.3928562857211,51.6672806617547
"19","Lower Green River - W Subbasin",6.10475693337311,4.40549816915032,1.13749473605776,15,"none",0.201718195778243,0.0857142857142857,0.692180772721877,1,0,14.4109692836743,5.58823529411765
"20","Lyon Creek Subbasin",32.3839078751656,14.1029668003428,3.5257417000857,16,"positive",1.83543253422679,0.533333333333333,0.00456226115322256,1,6.66205956066637,54.8508754787105,31.7057623539012
"21","May Creek Subbasin",54.5174756944802,12.6498562967962,1.78895983369999,50,"none",0.405225197758862,0.129770992366412,0.223016535088191,3,27.8660819284874,77.4592588973574,53.6336443594166
"22","McAleer Creek Subbasin",31.4190001437972,6.51002891536858,1.57891393199352,17,"none",0.0651489930937698,0.0294117647058824,0.901649504895373,1,14.4407587596442,40.8295139353171,32.5350897192822
"23","Mercer Slough Subbasin",4.22220515742368,3.95967903037199,1.19388814854383,11,"none",0.233918128654971,0.254545454545455,0.310044123876524,1,0,13.5839793281654,4.13951545530493
"24","Middle Green River Subbasin",64.3383132235537,15.7773731766339,1.61027140684279,96,"none",0.301544242407966,0.122615803814714,0.110507726585456,6,22.5638729175881,92.0694994440044,66.3924848601211
"25","Mill Creek Subbasin",49.1377233519947,10.3368118545321,1.77274860793657,34,"none",0.221314688666178,0.108695652173913,0.407410763206717,2,24.8011327337953,66.0090004994246,52.3639593026113
"26","Miller Creek Subbasin",24.9370344608672,15.0530711887049,3.36596904480876,20,"positive",1.48316793822792,0.444444444444444,0.0136411557949685,2,1.83823529411765,50.9631874373576,26.2937232216428
"27","Newaukum Creek Subbasin",72.7452328532632,10.4729952989797,1.13595583247015,85,"positive",0.5860251403703,0.264069264069264,0.00106595835333723,5,41.9900132227514,93.5732634138927,74.5142010292489
"28","North Creek Subbasin",36.6137280012871,16.5792927721343,2.47149504382421,45,"positive",0.937795741681693,0.432926829268293,0.000128155756017989,3,5.79458450046685,73.5234675265455,33.2535014005602
"29","Sammamish River Subbasin",31.2058279955117,24.9425112207648,2.50681669843958,99,"positive",0.461002042142397,0.22972972972973,0.0026103679039442,7,0,79.4790127393267,23.7244296331344
"30","Soos Creek Subbasin",65.5343748453865,14.2195624258027,1.5072706025969,89,"none",0.488056381263235,0.153538050734312,0.0502227825180435,5,28.1216395983118,93.4958083192477,68.2557922393764
"31","Swamp Creek Subbasin",41.4372656883824,9.07297429068718,1.5121623817812,36,"none",-0.0448585935122082,-0.00977198697068404,0.957467580833265,2,23.5168135797771,61.1059214383428,42.7118649479376
"32","Thornton Creek Subbasin",6.27112965051167,8.06668889937948,1.85062535375666,19,"none",0.269005847953216,0.315789473684211,0.0635432497785806,1,0,33.8013538748833,3.06599832915623
"33","Tibbetts Creek Subbasin",36.8506130318304,18.8560277865636,3.56345430269792,28,"none",0.208760537707906,0.0575916230366492,0.715784794545751,2,8.96311858076564,77.516084442753,36.3531941744466
"34","Upper Cedar River Subbasin",85.0880655811896,10.188508227948,2.47107621125318,17,"none",0.745286787705683,0.25,0.174033580208164,1,67.09413838975,99.6382428940568,86.5354131452663
"35","Vashon-Maury Island Subbasin",49.36352998187,20.8946504222861,4.09777808588218,26,"positive",1.54476281332606,0.388535031847134,0.0102588676222686,2,6.32236227824463,80.515368162769,55.7421236344395
"36","W Lake Sammamish Subbasin",19.9107513235132,9.43422482010536,1.72244591551561,30,"none",0.426130733811275,0.205479452054795,0.144605568537566,2,1.14912280701754,42.6730314728911,19.7649548803609
"37","W Lake Washington - Seattle N Subbasin",15.8864431465501,4.52374181056702,1.06625617019635,18,"none",0.12876121991025,0.0849673202614379,0.649445669217466,1,6.94210817742029,22.4323159700437,15.9869981040152
"38","W Lake Washington - Seattle S Subbasin",18.9069604310333,11.829079590691,1.56679986721679,57,"positive",0.418498648836208,0.261538461538462,0.00983568608512075,4,0.166666666666667,45.7041995092611,17.2737523814095
